"id.trader","nr_traders"
"T0338",6.75
"T0342",6.75
"T0069",4.25641025641026
"T0060",4.25641025641026
"T0002",5.14285714285714
"T0019",5.14285714285714
"T0136",5.14285714285714
"T0068",6
"T0062",6
"T0067",6
"T0059",6
"T0146",4.83333333333333
"T0145",4.83333333333333
"T0147",4.83333333333333
"T0162",4.83333333333333
"T0140",4.83333333333333
"T0148",4.83333333333333
"T0151",4.83333333333333
"T0154",4.83333333333333
"T0256",4.83333333333333
"T0021",5
"T0104",5
"T0110",5
"T0103",5
"T0109",5
"T0193",3.14814814814815
"T0196",3.14814814814815
"T0197",3.14814814814815
"T0201",3.14814814814815
"T0274",7.8125
"T0275",7.8125
"T0260",7.8125
"T0278",7.8125
"T0266",7.8125
"T0263",7.8125
"T0264",7.8125
"T0269",7.8125
"T0270",7.8125
"T0272",7.8125
"T0276",7.8125
"T0273",7.8125
"T0259",7.8125
"T0280",7.8125
"T0267",7.8125
"T0277",7.8125
"T0168",4.95652173913043
"T0181",4.95652173913043
"T0174",4.95652173913043
"T0188",4.95652173913043
"T0239",6.5625
"T0242",6.5625
"T0230",6.5625
"T0108",4.47368421052632
"T0127",5.65
"T0106",5.65
"T0282",5.65
"T0105",5.65
"T0031",5.65
"T0030",5.65
"T0102",5.65
"T0107",5.65
"T0139",3.65454545454545
"T0161",3.65454545454545
"T0158",3.65454545454545
"T0160",3.65454545454545
"T0152",3.65454545454545
"T0143",3.65454545454545
"T0135",3.65454545454545
"T0141",3.65454545454545
"T0149",3.65454545454545
"T0155",3.65454545454545
"T0153",3.65454545454545
"T0138",3.65454545454545
"T0048",7.38461538461539
"T0045",7.38461538461539
"T0035",7.38461538461539
"T0051",7.38461538461539
"T0053",7.38461538461539
"T0042",7.38461538461539
"T0033",7.38461538461539
"T0271",7.69230769230769
"T0307",7.69230769230769
"T0319",7.69230769230769
"T0320",7.69230769230769
"T0318",7.69230769230769
"T0323",7.69230769230769
"T0309",7.69230769230769
"T0287",6.75
"T0301",6.75
"T0303",6.75
"T0300",6.75
"T0298",4.84615384615385
"T0296",4.84615384615385
"T0302",4.84615384615385
"T0126",4.84615384615385
"T0293",4.84615384615385
"T0284",4.84615384615385
"T0297",4.84615384615385
"T0288",4.84615384615385
"T0304",4.84615384615385
"T0299",4.84615384615385
"T0292",4.84615384615385
"T0065",3.9
"T0070",3.9
"T0125",4.89285714285714
"T0112",4.89285714285714
"T0115",4.89285714285714
"T0124",4.89285714285714
"T0122",4.89285714285714
"T0117",4.89285714285714
"T0120",4.89285714285714
"T0007",3.77777777777778
"T0118",3.77777777777778
"T0121",3.77777777777778
"T0123",3.77777777777778
"T0111",3.77777777777778
"T0114",3.77777777777778
"T0166",5.71739130434783
"T0177",5.71739130434783
"T0183",5.71739130434783
"T0176",5.71739130434783
"T0178",5.71739130434783
"T0179",5.71739130434783
"T0028",5.3125
"T0025",5.3125
"T0023",5.3125
"T0013",5.3125
"T0043",5.58823529411765
"T0040",5.58823529411765
"T0044",5.58823529411765
"T0094",5.58823529411765
"T0047",5.58823529411765
"T0172",5.58823529411765
"T0241",8.78571428571429
"T0132",8.78571428571429
"T0236",8.78571428571429
"T0243",8.78571428571429
"T0251",8.78571428571429
"T0237",8.78571428571429
"T0244",NA
"T0240",8.33333333333333
"T0231",8.33333333333333
"T0331",8.33333333333333
"T0335",4.88888888888889
"T0333",4.88888888888889
"T0339",4.88888888888889
"T0340",4.88888888888889
"T0341",4.88888888888889
"T0137",3.36363636363636
"T0150",3.36363636363636
"T0209",3.61538461538462
"T0195",3.61538461538462
"T0189",3.61538461538462
"T0191",3.61538461538462
"T0142",3.61538461538462
"T0129",3.61538461538462
"T0072",7.57142857142857
"T0066",7.57142857142857
"T0063",7.57142857142857
"T0074",5.6
"T0029",5.6
"T0081",5.6
"T0083",5.6
"T0085",5.6
"T0261",5.55555555555556
"T0262",5.55555555555556
"T0268",5.55555555555556
"T0032",5.55555555555556
"T0265",5.55555555555556
"T0091",6.84615384615385
"T0077",6.84615384615385
"T0281",6.84615384615385
"T0084",6.84615384615385
"T0076",6.84615384615385
"T0082",6.84615384615385
"T0180",5.68888888888889
"T0097",5.68888888888889
"T0095",5.68888888888889
"T0167",5.68888888888889
"T0096",5.68888888888889
"T0171",5.68888888888889
"T0100",5.68888888888889
"T0098",5.68888888888889
"T0101",5.68888888888889
"T0099",5.68888888888889
"T0079",6.23529411764706
"T0089",6.23529411764706
"T0134",6.23529411764706
"T0087",6.23529411764706
"T0088",6.23529411764706
"T0093",6.23529411764706
"T0086",6.23529411764706
"T0080",6.23529411764706
"T0092",6.23529411764706
"T0078",6.23529411764706
"T0075",6.23529411764706
"T0090",6.36363636363636
"T0054",5.06666666666667
"T0039",5.06666666666667
"T0034",5.06666666666667
"T0049",5.06666666666667
"T0006",5
"T0010",5
"T0255",5
"T0017",5
"T0014",5
"T0254",5
"T0252",5
"T0253",5
"T0027",5
"T0026",5
"T0015",5.25
"T0003",5.25
"T0012",5.25
"T0009",5.25
"T0024",5.25
"T0016",5.25
"T0001",5.25
"T0036",5.25
"T0018",5.25
"T0058",5.25
"T0057",5.25
"T0334",4.33333333333333
"T0130",4
"T0128",4
"T0222",4
"T0218",4
"T0214",4
"T0211",4
"T0212",4
"T0217",4
"T0220",4
"T0294",4.2
"T0291",4.2
"T0119",5.8125
"T0113",5.8125
"T0116",5.8125
"T0038",8.25
"T0055",8.25
"T0165",2.5
"T0164",2.5
"T0258",4.57142857142857
"T0317",4.57142857142857
"T0314",4.57142857142857
"T0315",4.57142857142857
"T0311",4.57142857142857
"T0322",5.16666666666667
"T0326",5.16666666666667
"T0332",5.16666666666667
"T0004",5.36842105263158
"T0020",5.36842105263158
"T0008",5.36842105263158
"T0011",5.36842105263158
"T0005",5.36842105263158
"T0022",5.36842105263158
"T0210",6.38461538461539
"T0216",6.38461538461539
"T0213",6.38461538461539
"T0190",6.38461538461539
"T0215",6.38461538461539
"T0221",6.38461538461539
"T0208",6.38461538461539
"T0223",6.38461538461539
"T0224",6.38461538461539
"T0207",6.38461538461539
"T0325",5.69565217391304
"T0330",5.69565217391304
"T0327",5.69565217391304
"T0328",5.69565217391304
"T0329",5.69565217391304
"T0279",5.69565217391304
"T0324",5.69565217391304
"T0192",2.28
"T0202",2.28
"T0203",2.79487179487179
"T0200",2.79487179487179
"T0205",2.79487179487179
"T0194",2.79487179487179
"T0198",2.79487179487179
"T0204",2.79487179487179
"T0206",2.79487179487179
"T0199",2.79487179487179
"T0295",5.94117647058824
"T0286",5.94117647058824
"T0283",5.94117647058824
"T0305",5.94117647058824
"T0285",5.94117647058824
"T0289",5.94117647058824
"T0290",5.94117647058824
"T0306",5.94117647058824
"T0037",7.5
"T0046",7.5
"T0056",7.5
"T0041",7.5
"T0050",7.5
"T0313",5.17647058823529
"T0257",5.17647058823529
"T0310",5.17647058823529
"T0321",5.17647058823529
"T0308",5.17647058823529
"T0312",5.17647058823529
"T0316",5.17647058823529
"T0133",7.69444444444444
"T0131",7.69444444444444
"T0235",7.69444444444444
"T0232",7.69444444444444
"T0238",7.69444444444444
"T0226",7.69444444444444
"T0234",7.69444444444444
"T0229",7.69444444444444
"T0233",7.69444444444444
"T0245",7.69444444444444
"T0227",4.30434782608696
"T0225",4.30434782608696
"T0228",4.30434782608696
"T0156",4.60869565217391
"T0052",4.60869565217391
"T0157",4.60869565217391
"T0184",4.60869565217391
"T0169",4.60869565217391
"T0175",4.60869565217391
"T0182",4.60869565217391
"T0173",4.60869565217391
"T0186",4.60869565217391
"T0187",4.60869565217391
"T0185",4.60869565217391
"T0170",NA
"T0064",6.94117647058824
"T0071",6.94117647058824
"T0073",6.94117647058824
"T0061",6.94117647058824
"T0163",5
"T0337",5
"T0336",5
"T0248",4.42105263157895
"T0144",4.42105263157895
"T0159",4.42105263157895
"T0247",4.42105263157895
"T0249",4.42105263157895
"T0250",4.42105263157895
"T0246",4.42105263157895
